year;sex;age;s_pop;f_dead;f_born;f_immig_pop;f_immig_cvd;f_immig_cancer;f_cancer_pop;f_pop_cvd;f_cvd_pop;f_cancer_dead;f_cvd_dead;dcost_unit_cancer;icost_unit_cancer;dcost_unit_cvd;icost_unit_cvd;dcost_cancer;dcost_cvd;icost_cancer;icost_cvd;dcost_growth_cancer;dcost_growth_cvd;prev_fruit;prev_wholegrains;prev_greens;prev_meat;prev_salt;paf_cancer_fruit;paf_cancer_wholegrains;paf_cancer_greens;paf_cancer_meat;paf_cancer_salt;paf_cvd_fruit;paf_cvd_wholegrains;paf_cvd_greens;paf_cvd_meat;paf_cvd_salt;s_cancer;s_cvd;s_dead_cancer;s_dead_cvd;s_dead;f_emig_pop;f_emig_cvd;f_emig_cancer;f_pop_cancer;dr;dr_cancer;dr_cvd;prev_alcohol;prev_obesity;prev_smoking;prev_inactivity;paf_cvd_other;paf_cvd_smoking;paf_cvd_inactivity;paf_cvd_obesity;paf_cvd_alcohol;cpaf_diet_cvd;p_pop_cvd;paf_cancer_other;paf_cancer_smoking;paf_cancer_inactivity;paf_cancer_obesity;paf_cancer_alcohol;cpaf_diet_cancer;p_pop_cancer;calibration_cancer;calibration_cvd;calibration_mortality
2021;1;67;38689;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3460;10326;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;68;38163;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3714;11160;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;69;36434;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3859;11640;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;70;34398;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;3908;11947;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;71;34666;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;4346;12948;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;72;34410;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;4527;13710;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;73;33383;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;4866;14992;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;74;32124;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;5075;15532;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;75;30333;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;5213;16422;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2021;1;76;28498;;;;;;;;;;;;;;;;;;;0;0;;;;;;;;;;;;;;;;5336;16738;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
