AR;alder;Kon;prev_cvd;prev_ccr;totpop
2012;75;2;8089;2219;37214
2012;76;1;10930;3124;30784
2012;76;2;8159;2174;35780
2012;77;1;10760;2854;28425
2012;77;2;8389;2027;33268
2012;78;1;10133;2466;25777
2012;78;2;8499;1929;32096
2012;79;1;9868;2577;24296
2012;79;2;8767;1800;30773
2012;80;1;10100;2439;23664
2012;80;2;9360;1872;30913
2012;81;1;9632;2304;21826
2012;81;2;9454;1858;29850
2012;82;1;9601;2253;20733
2012;82;2;9905;1831;29316
2012;83;1;8597;1942;18269
2012;83;2;9402;1692;26917
2012;84;1;8227;1804;17266
2012;84;2;9672;1668;26301
2012;85;1;7423;1511;14806
2012;85;2;9122;1492;23936
2012;86;1;6779;1516;13440
2012;86;2;8927;1395;22512
2012;87;1;6207;1268;11896
2012;87;2;8550;1269;20878
2012;88;1;5368;1096;10087
2012;88;2;7855;1123;18790
2012;89;1;4630;937;8739
2012;89;2;7046;1016;16567
2012;90;1;3669;727;6848
2012;90;2;6237;822;14170
2012;91;1;3209;610;5879
2012;91;2;5956;756;13082
2012;92;1;2577;478;4663
2012;92;2;5149;730;11210
2012;93;1;1589;298;2914
2012;93;2;3308;409;7339
2012;94;1;1100;200;2052
2012;94;2;2555;320;5487
2012;95;1;748;127;1437
2012;95;2;1930;274;4340
2012;96;1;497;75;940
2012;96;2;1409;175;3066
2012;97;1;316;48;548
2012;97;2;935;113;2136
2012;98;1;200;53;397
2012;98;2;616;90;1570
2012;99;1;119;25;246
2012;99;2;479;47;1034
2012;100;1;128;26;275
2012;100;2;594;66;1559
2013;6;1;19;44;122
2013;6;2;18;51;109
2013;7;1;23;45;131
2013;7;2;16;30;99
2013;8;1;16;40;112
2013;8;2;20;28;108
2013;9;1;22;41;124
2013;9;2;25;28;117
2013;10;1;19;29;123
2013;10;2;21;16;101
2013;11;1;25;28;145
2013;11;2;21;16;105
2013;12;1;17;25;137
2013;12;2;30;26;135
2013;13;1;21;24;147
2013;13;2;17;26;131
2013;14;1;12;24;145
2013;14;2;21;29;152
2013;15;1;46;54;51347
2013;15;2;39;47;47777
2013;16;1;47;45;52064
2013;16;2;35;42;48686
2013;17;1;82;54;54943
2013;17;2;70;44;51353
2013;18;1;212;52;59283
2013;18;2;176;43;54982
2013;19;1;249;82;63181
2013;19;2;202;72;59666
2013;20;1;645;95;65504
2013;20;2;488;72;62331
2013;21;1;739;111;68700
2013;21;2;516;95;64976
2013;22;1;730;107;70329
2013;22;2;580;100;66634
2013;23;1;759;107;71250
2013;23;2;574;84;68206
2013;24;1;744;105;68057
2013;24;2;551;113;65561
2013;25;1;686;93;67494
2013;25;2;537;130;64783
2013;26;1;620;130;64398
2013;26;2;545;153;62600
2013;27;1;649;138;64542
2013;27;2;499;166;61815
2013;28;1;638;140;63942
2013;28;2;516;173;60402
