;year;age;rate;sex
2466;2091;42;0.0002705766146732;2
2467;2091;43;0.0002935796301483;2
2468;2091;44;0.0003199312791;2
2469;2091;45;0.0003497734642654;2
2470;2091;46;0.000383218988382;2
2471;2091;47;0.0004203623941447;2
2472;2091;48;0.0004612981069241;2
2473;2091;49;0.0005061445189888;2
2474;2091;50;0.0005550710702893;2
2475;2091;51;0.0006083242970095;2
2476;2091;52;0.0006662485615091;2
2477;2091;53;0.0007292978255554;2
2478;2091;54;0.0007980362136351;2
2479;2091;55;0.0008731269264084;2
2480;2091;56;0.0009553110112071;2
2481;2091;57;0.0010453794003662;2
2482;2091;58;0.0011441434328682;2
2483;2091;59;0.0012524107506765;2
2484;2091;60;0.0013709748781332;2
2485;2091;61;0.0015006276440847;2
2486;2091;62;0.0016422034525627;2
2487;2091;63;0.0017966628601075;2
2488;2091;64;0.001965219905321;2
2489;2091;65;0.0021495136298084;2
2490;2091;66;0.0023518202683489;2
2491;2091;67;0.002575300013895;2
2492;2091;68;0.002824272227501;2
2493;2091;69;0.0031045158845187;2
2494;2091;70;0.00342359732273;2
2495;2091;71;0.0037912334623179;2
2496;2091;72;0.0042197036182655;2
2497;2091;73;0.0047243249704751;2
2498;2091;74;0.0053240044465986;2
2499;2091;75;0.0060418727966339;2
2500;2091;76;0.0069059954867998;2
2501;2091;77;0.0079501411591478;2
2502;2091;78;0.0092145743553408;2
2503;2091;79;0.0107468288608326;2
2504;2091;80;0.0126024165117036;2
2505;2091;81;0.0148454392726927;2
2506;2091;82;0.0175491043571601;2
2507;2091;83;0.0207961940301331;2
2508;2091;84;0.0246796083701126;2
2509;2091;85;0.0293031684252651;2
2510;2091;86;0.0347829213272743;2
2511;2091;87;0.0412492101661118;2
2512;2091;88;0.048849748582033;2
2513;2091;89;0.0577538745237793;2
2514;2091;90;0.0681580653196297;2
2515;2091;91;0.080292703540144;2
2516;2091;92;0.0944300187741804;2
2517;2091;93;0.110893115961626;2
2518;2091;94;0.130066043902361;2
2519;2091;95;0.152404948674759;2
2520;2091;96;0.178450469737915;2
2521;2091;97;0.208841628727402;2
2522;2091;98;0.244331472030329;2
2523;2091;99;0.285804578136719;2
2524;2091;100;0.334296130498868;2
2525;2091;0;0.00226;1
2526;2091;1;0.0002;1
2527;2091;2;7e-05;1
2528;2091;3;0.00015;1
2529;2091;4;0.00013;1
2530;2091;5;3e-05;1
2531;2091;6;6e-05;1
2532;2091;7;9e-05;1
2533;2091;8;8e-05;1
2534;2091;9;8e-05;1
2535;2091;10;3e-05;1
2536;2091;11;6e-05;1
2537;2091;12;5e-05;1
2538;2091;13;0.00012;1
2539;2091;14;0.00014;1
2540;2091;15;0.00011;1
2541;2091;16;0.00021;1
2542;2091;17;0.00033;1
2543;2091;18;0.00036;1
2544;2091;19;0.0006;1
2545;2091;20;0.000402324365354;1
2546;2091;21;0.0004200475023763;1
2547;2091;22;0.0004381647509166;1
2548;2091;23;0.0004560901373523;1
2549;2091;24;0.0004730418628009;1
2550;2091;25;0.0004881564962366;1
2551;2091;26;0.0005006225485626;1
2552;2091;27;0.0005098158672611;1
2553;2091;28;0.0005154124103549;1
2554;2091;29;0.0005174549854185;1
2555;2091;30;0.0005163603776874;1
2556;2091;31;0.0005128685637352;1
2557;2091;32;0.0005079502969265;1
2558;2091;33;0.0005026976379989;1
2559;2091;34;0.0004982216812321;1
2560;2091;35;0.0004955744449358;1
2561;2091;36;0.000495701688114;1
2562;2091;37;0.0004994243112549;1
2563;2091;38;0.0005074403669067;1
2564;2091;39;0.0005203379485865;1
2565;2091;40;0.0005386104490265;1
2566;2091;41;0.0005626685789593;1
2567;2091;42;0.0005928470004642;1
2568;2091;43;0.0006294066947485;1
2569;2091;44;0.0006725367442871;1
2570;2091;45;0.0007223606524382;1
2571;2091;46;0.0007789522984284;1
2572;2091;47;0.0008423649585413;1
2573;2091;48;0.0009126737136693;1
2574;2091;49;0.0009900276877968;1
2575;2091;50;0.0010747049666228;1
2576;2091;51;0.001167160796262;1
2577;2091;52;0.0012680594274144;1
2578;2091;53;0.0013782817724601;1
2579;2091;54;0.0014989043329695;1
2580;2091;55;0.0016311488689311;1
2581;2091;56;0.0017763064486925;1
2582;2091;57;0.0019356436750376;1
2583;2091;58;0.0021103031508278;1
2584;2091;59;0.0023012146548959;1
2585;2091;60;0.0025090375403243;1
2586;2091;61;0.0027341572850188;1
2587;2091;62;0.0029767581337833;1
2588;2091;63;0.0032369877980437;1
2589;2091;64;0.0035152189030934;1
2590;2091;65;0.0038123970655003;1
2591;2091;66;0.0041304510260478;1
2592;2091;67;0.0044727309887862;1
2593;2091;68;0.0048444409815884;1
2594;2091;69;0.0052530404098338;1
2595;2091;70;0.005708606050661;1
2596;2091;71;0.0062241628441136;1
2597;2091;72;0.0068160038311847;1
2598;2091;73;0.0075040221899386;1
2599;2091;74;0.008312070481446;1
2600;2091;75;0.0092683461908665;1
2601;2091;76;0.0104057832232126;1
2602;2091;77;0.0117624125842327;1
2603;2091;78;0.0133816492952769;1
2604;2091;79;0.0153124739168448;1
2605;2091;80;0.0176095116060736;1
2606;2091;81;0.0203330709482463;1
2607;2091;82;0.0235492830203224;1
2608;2091;83;0.0273305628408775;1
2609;2091;84;0.0317566767377604;1
2610;2091;85;0.036916714110541;1
2611;2091;86;0.0429122121070872;1
2612;2091;87;0.0498615657807364;1
2613;2091;88;0.0579056945876964;1
2614;2091;89;0.0672147649028683;1
2615;2091;90;0.0779956271470296;1
2616;2091;91;0.0904995446819845;1
2617;2091;92;0.105029783449728;1
2618;2091;93;0.121948699224438;1
2619;2091;94;0.141684108360284;1
2620;2091;95;0.16473497779493;1
2621;2091;96;0.191676858301824;1
2622;2091;97;0.22316805618359;1
2623;2091;98;0.259958323772378;1
2624;2091;99;0.302902847681776;1
2625;2091;100;0.35298549940727;1
2424;2092;0;0.0021;2
2425;2092;1;0.00021;2
2426;2092;2;5e-05;2
2427;2092;3;0.00016;2
2428;2092;4;3e-05;2
2429;2092;5;5e-05;2
2430;2092;6;7e-05;2
2431;2092;7;7e-05;2
2432;2092;8;0.0;2
2433;2092;9;7e-05;2
2434;2092;10;3e-05;2
2435;2092;11;6e-05;2
2436;2092;12;2e-05;2
2437;2092;13;0.00012;2
2438;2092;14;0.00018;2
2439;2092;15;0.00018;2
2440;2092;16;7e-05;2
2441;2092;17;0.00016;2
2442;2092;18;0.00019;2
2443;2092;19;0.0002;2
2444;2092;20;0.0001394429126017;2
2445;2092;21;0.0001434178368282;2
2446;2092;22;0.0001474410683511;2
2447;2092;23;0.0001514188139494;2
2448;2092;24;0.0001552366308526;2
2449;2092;25;0.0001587814232988;2
2450;2092;26;0.0001619633600225;2
2451;2092;27;0.0001647352304578;2
2452;2092;28;0.00016710660465;2
2453;2092;29;0.0001691508422985;2
2454;2092;30;0.0001710043598756;2
2455;2092;31;0.0001728591607021;2
2456;2092;32;0.0001749509100008;2
2457;2092;33;0.0001775453920704;2
2458;2092;34;0.0001809259233718;2
2459;2092;35;0.0001853834181266;2
2460;2092;36;0.0001912096790008;2
2461;2092;37;0.0001986934721684;2
2462;2092;38;0.0002081182778303;2
2463;2092;39;0.0002197603709615;2
2464;2092;40;0.0002338860609727;2
2465;2092;41;0.0002507474259291;2
2466;2092;42;0.0002705766146732;2
2467;2092;43;0.0002935796301483;2
