AR;alder;Kon;inc_cvd;inc_ccr
2008;22;1;;18
2008;22;2;;15
2008;23;1;;17
2008;23;2;;26
2008;24;1;;22
2008;24;2;;19
2008;25;1;;31
2008;25;2;;28
2008;26;1;;31
2008;26;2;;25
2008;27;1;;33
2008;27;2;;38
2008;28;1;;34
2008;28;2;;28
2008;29;1;;36
2008;29;2;;47
2008;30;1;;27
2008;30;2;;41
2008;31;1;;40
2008;31;2;;59
2008;32;1;;47
2008;32;2;;60
2008;33;1;;43
2008;33;2;;75
2008;34;1;;43
2008;34;2;;92
2008;35;1;;49
2008;35;2;;80
2008;36;1;;56
2008;36;2;;77
2008;37;1;;44
2008;37;2;;95
2008;38;1;;65
2008;38;2;;118
2008;39;1;;64
2008;39;2;;109
2008;40;1;;46
2008;40;2;;117
2008;41;1;;71
2008;41;2;;147
2008;42;1;;69
2008;42;2;;166
2008;43;1;;74
2008;43;2;;170
2008;44;1;;83
2008;44;2;;201
2008;45;1;;102
2008;45;2;;193
2008;46;1;;104
2008;46;2;;231
2008;47;1;;109
2008;47;2;;226
2008;48;1;;114
2008;48;2;;229
2008;49;1;;148
2008;49;2;;231
2008;50;1;;158
2008;50;2;;258
2008;51;1;;179
2008;51;2;;281
2008;52;1;;203
2008;52;2;;305
2008;53;1;;215
2008;53;2;;326
2008;54;1;;263
2008;54;2;;336
2008;55;1;;283
2008;55;2;;331
2008;56;1;;342
2008;56;2;;348
2008;57;1;;375
2008;57;2;;405
2008;58;1;;449
2008;58;2;;452
2008;59;1;;534
2008;59;2;;489
2008;60;1;;605
2008;60;2;;543
2008;61;1;;665
2008;61;2;;566
2008;62;1;;747
2008;62;2;;638
2008;63;1;;871
2008;63;2;;644
2008;64;1;;974
2008;64;2;;731
2008;65;1;;861
2008;65;2;;731
2008;66;1;;872
2008;66;2;;690
2008;67;1;;792
2008;67;2;;626
2008;68;1;;804
2008;68;2;;617
2008;69;1;;911
2008;69;2;;660
2008;70;1;;859
2008;70;2;;627
2008;71;1;;838
2008;71;2;;627
2008;72;1;;868
2008;72;2;;622
2008;73;1;;814
2008;73;2;;555
2008;74;1;;780
2008;74;2;;608
2008;75;1;;784
2008;75;2;;547
2008;76;1;;814
2008;76;2;;600
2008;77;1;;790
2008;77;2;;587
2008;78;1;;817
2008;78;2;;612
2008;79;1;;740
2008;79;2;;592
2008;80;1;;690
2008;80;2;;551
2008;81;1;;686
2008;81;2;;569
2008;82;1;;632
2008;82;2;;580
2008;83;1;;618
2008;83;2;;555
2008;84;1;;602
2008;84;2;;554
2008;85;1;;527
2008;85;2;;461
2008;86;1;;482
2008;86;2;;419
2008;87;1;;438
2008;87;2;;416
2008;88;1;;361
2008;88;2;;426
2008;89;1;;239
2008;89;2;;261
2008;90;1;;199
2008;90;2;;216
2008;91;1;;131
2008;91;2;;199
2008;92;1;;102
2008;92;2;;151
2008;93;1;;90
2008;93;2;;119
2008;94;1;;72
2008;94;2;;93
2008;95;1;;32
2008;95;2;;70
2008;96;1;;24
2008;96;2;;40
2008;97;1;;11
2008;97;2;;35
2008;98;1;;10
2008;98;2;;25
2008;99;1;;5
2008;99;2;;10
2008;100;1;;16
2008;100;2;;11
2009;2;1;;15
2009;2;2;;10
2009;3;1;;11
2009;3;2;;8
2009;4;1;;9
2009;4;2;;9
2009;5;1;;2
2009;5;2;;5
2009;6;1;;7
2009;6;2;;4
2009;7;1;;9
2009;7;2;;1
2009;8;1;;5
2009;8;2;;3
2009;9;1;;4
2009;9;2;;5
2009;10;1;;4
2009;10;2;;6
2009;11;1;;6
2009;11;2;;10
2009;12;1;;6
2009;12;2;;3
2009;13;1;;6
2009;13;2;;6
2009;14;1;;8
2009;14;2;;3
2009;15;1;;11
2009;15;2;;12
2009;16;1;;13
2009;16;2;;11
2009;17;1;;34
2009;17;2;;14
2009;18;1;;12
2009;18;2;;19
2009;19;1;;17
2009;19;2;;12
2009;20;1;;21
2009;20;2;;17
2009;21;1;;12
2009;21;2;;21
2009;22;1;;26
2009;22;2;;19
2009;23;1;;30
2009;23;2;;23
2009;24;1;;26
2009;24;2;;27
2009;25;1;;31
2009;25;2;;29
2009;26;1;;28
2009;26;2;;33
2009;27;1;;18
2009;27;2;;31
